1,2,3,4,5,count
AD,AC,2D,3D,2C,9
AD,AC,2D,3D,3C,9
AD,AC,2D,3D,4C,27
AD,AC,2D,3D,5C,27
AD,AC,2D,3D,6C,27
AD,AC,2D,3D,7C,27
AD,AC,2D,3D,8C,27
AD,AC,2D,3D,9C,27
AD,AC,2D,3D,10C,27
AD,AC,2D,3D,JC,27
AD,AC,2D,3D,QC,27
AD,AC,2D,3D,KC,27
AD,AC,2D,3D,AH,6
AD,AC,2D,4D,2C,9
AD,AC,2D,4D,4C,9
AD,AC,2D,4D,5C,27
AD,AC,2D,4D,6C,27
AD,AC,2D,4D,7C,27
AD,AC,2D,4D,8C,27
AD,AC,2D,4D,9C,27
AD,AC,2D,4D,10C,27
AD,AC,2D,4D,JC,27
AD,AC,2D,4D,QC,27
AD,AC,2D,4D,KC,27
AD,AC,2D,4D,AH,6
AD,AC,2D,5D,2C,9
AD,AC,2D,5D,5C,9
AD,AC,2D,5D,6C,27
AD,AC,2D,5D,7C,27
AD,AC,2D,5D,8C,27
AD,AC,2D,5D,9C,27
AD,AC,2D,5D,10C,27
AD,AC,2D,5D,JC,27
AD,AC,2D,5D,QC,27
AD,AC,2D,5D,KC,27
AD,AC,2D,5D,AH,6
AD,AC,2D,6D,2C,9
AD,AC,2D,6D,6C,9
AD,AC,2D,6D,7C,27
AD,AC,2D,6D,8C,27
AD,AC,2D,6D,9C,27
AD,AC,2D,6D,10C,27
AD,AC,2D,6D,JC,27
AD,AC,2D,6D,QC,27
AD,AC,2D,6D,KC,27
AD,AC,2D,6D,AH,6
AD,AC,2D,7D,2C,9
AD,AC,2D,7D,7C,9
AD,AC,2D,7D,8C,27
AD,AC,2D,7D,9C,27
AD,AC,2D,7D,10C,27
AD,AC,2D,7D,JC,27
AD,AC,2D,7D,QC,27
AD,AC,2D,7D,KC,27
AD,AC,2D,7D,AH,6
AD,AC,2D,8D,2C,9
AD,AC,2D,8D,8C,9
AD,AC,2D,8D,9C,27
AD,AC,2D,8D,10C,27
AD,AC,2D,8D,JC,27
AD,AC,2D,8D,QC,27
AD,AC,2D,8D,KC,27
AD,AC,2D,8D,AH,6
AD,AC,2D,9D,2C,9
AD,AC,2D,9D,9C,9
AD,AC,2D,9D,10C,27
AD,AC,2D,9D,JC,27
AD,AC,2D,9D,QC,27
AD,AC,2D,9D,KC,27
AD,AC,2D,9D,AH,6
AD,AC,2D,10D,2C,9
AD,AC,2D,10D,10C,9
AD,AC,2D,10D,JC,27
AD,AC,2D,10D,QC,27
AD,AC,2D,10D,KC,27
AD,AC,2D,10D,AH,6
AD,AC,2D,JD,2C,9
AD,AC,2D,JD,JC,9
AD,AC,2D,JD,QC,27
AD,AC,2D,JD,KC,27
AD,AC,2D,JD,AH,6
AD,AC,2D,QD,2C,9
AD,AC,2D,QD,QC,9
AD,AC,2D,QD,KC,27
AD,AC,2D,QD,AH,6
AD,AC,2D,KD,2C,9
AD,AC,2D,KD,KC,9
AD,AC,2D,KD,AH,6
AD,AC,3D,4D,3C,9
AD,AC,3D,4D,4C,9
AD,AC,3D,4D,5C,27
AD,AC,3D,4D,6C,27
AD,AC,3D,4D,7C,27
