1,2,3,4,5,count
AC,2D,2D,3D,4D,6
AC,2D,2D,3D,5D,6
AC,2D,2D,3D,6D,6
AC,2D,2D,3D,7D,6
AC,2D,2D,3D,8D,6
AC,2D,2D,3D,9D,6
AC,2D,2D,3D,10D,6
AC,2D,2D,3D,JD,6
AC,2D,2D,3D,QD,6
AC,2D,2D,3D,KD,6
AC,2D,2D,4D,5D,6
AC,2D,2D,4D,6D,6
AC,2D,2D,4D,7D,6
AC,2D,2D,4D,8D,6
AC,2D,2D,4D,9D,6
AC,2D,2D,4D,10D,6
AC,2D,2D,4D,JD,6
AC,2D,2D,4D,QD,6
AC,2D,2D,4D,KD,6
AC,2D,2D,5D,6D,6
AC,2D,2D,5D,7D,6
AC,2D,2D,5D,8D,6
AC,2D,2D,5D,9D,6
AC,2D,2D,5D,10D,6
AC,2D,2D,5D,JD,6
AC,2D,2D,5D,QD,6
AC,2D,2D,5D,KD,6
AC,2D,2D,6D,7D,6
AC,2D,2D,6D,8D,6
AC,2D,2D,6D,9D,6
AC,2D,2D,6D,10D,6
AC,2D,2D,6D,JD,6
AC,2D,2D,6D,QD,6
AC,2D,2D,6D,KD,6
AC,2D,2D,7D,8D,6
AC,2D,2D,7D,9D,6
AC,2D,2D,7D,10D,6
AC,2D,2D,7D,JD,6
AC,2D,2D,7D,QD,6
AC,2D,2D,7D,KD,6
AC,2D,2D,8D,9D,6
AC,2D,2D,8D,10D,6
AC,2D,2D,8D,JD,6
AC,2D,2D,8D,QD,6
AC,2D,2D,8D,KD,6
AC,2D,2D,9D,10D,6
AC,2D,2D,9D,JD,6
AC,2D,2D,9D,QD,6
AC,2D,2D,9D,KD,6
AC,2D,2D,10D,JD,6
AC,2D,2D,10D,QD,6
AC,2D,2D,10D,KD,6
AC,2D,2D,JD,QD,6
AC,2D,2D,JD,KD,6
AC,2D,2D,QD,KD,6
AC,2D,3D,4D,5D,12
AC,2D,3D,4D,6D,12
AC,2D,3D,4D,7D,12
AC,2D,3D,4D,8D,12
AC,2D,3D,4D,9D,12
AC,2D,3D,4D,10D,12
AC,2D,3D,4D,JD,12
AC,2D,3D,4D,QD,12
AC,2D,3D,4D,KD,12
AC,2D,3D,5D,6D,12
AC,2D,3D,5D,7D,12
AC,2D,3D,5D,8D,12
AC,2D,3D,5D,9D,12
AC,2D,3D,5D,10D,12
AC,2D,3D,5D,JD,12
AC,2D,3D,5D,QD,12
AC,2D,3D,5D,KD,12
AC,2D,3D,6D,7D,12
AC,2D,3D,6D,8D,12
AC,2D,3D,6D,9D,12
AC,2D,3D,6D,10D,12
